ID	stn	co	start_dt	duration	number	acc_code
2250	030	001	2002-09-20 12:43:51	00:01:07	TRANSFER	
2251	029	004	2002-09-20 12:42:52	00:03:05	TRANSFER	
2252	026	006	2002-09-20 12:46:42	00:00:19	INCOMING	
2253	029	006	2002-09-20 12:47:03	00:00:33	TRANSFER	
2254	026	003	2002-09-20 12:47:48	00:00:09	INCOMING	
2255	028	003	2002-09-20 12:47:59	00:01:05	TRANSFER	
2256	035	006	2002-09-20 12:52:56	00:00:05	2981226	
2257	035	005	2002-09-20 12:55:52	00:00:11	2981226	
2258	035	005	2002-09-20 12:56:27	00:00:07	2981275	
2259	035	005	2002-09-20 12:57:02	00:00:05	2981275	
2260	036	006	2002-09-20 12:55:19	00:02:01	4734557	
2261	035	006	2002-09-20 12:57:33	00:00:53	42981226	
2262	035	006	2002-09-20 12:58:43	00:00:07	2981226	
2263	035	005	2002-09-20 13:01:14	00:00:06	2981226	
2264	035	005	2002-09-20 13:01:41	00:00:09	2981226	
2265	035	005	2002-09-20 13:02:13	00:00:14	2981226	
2266	035	005	2002-09-20 13:02:48	00:00:06	2981275	
2267	023	006	2002-09-20 13:00:51	00:04:21	7778858	
2268	024	001	2002-09-20 13:05:26	00:00:24	INCOMING	
2269	029	001	2002-09-20 13:05:52	00:00:29	TRANSFER	
2270	036	005	2002-09-20 13:05:13	00:01:35	4304211	
2271	021	001	2002-09-20 13:06:22	00:01:22	TRANSFER	
2272	024	004	2002-09-20 13:07:36	00:00:14	INCOMING	
2273	024	006	2002-09-20 13:08:54	00:00:11	INCOMING	
2274	030	006	2002-09-20 13:09:07	00:00:18	TRANSFER	
2275	035	004	2002-09-20 13:07:52	00:02:01	TRANSFER	
2276	024	006	2002-09-20 13:10:14	00:00:08	INCOMING	
2277	031	006	2002-09-20 13:10:24	00:00:48	TRANSFER	
2278	035	006	2002-09-20 13:11:44	00:00:46	42981226	
2279	024	006	2002-09-20 13:12:54	00:00:08	INCOMING	
2280	024	001	2002-09-20 13:13:02	00:00:10	INCOMING	
2281	035	006	2002-09-20 13:13:04	00:00:35	TRANSFER	
2282	036	001	2002-09-20 13:13:13	00:01:15	TRANSFER	
2283	026	006	2002-09-20 13:15:47	00:00:16	INCOMING	
2284	026	001	2002-09-20 13:16:00	00:00:12	INCOMING	
2285	025	006	2002-09-20 13:16:04	00:00:08	TRANSFER	
2286	026	004	2002-09-20 13:16:22	00:00:21	INCOMING	
2287	025	005	2002-09-20 13:16:57	00:00:42	4436130	
2288	026	003	2002-09-20 13:19:27	00:00:12	INCOMING	
2289	035	003	2002-09-20 13:19:40	00:00:18	TRANSFER	
2290	029	006	2002-09-20 13:18:23	00:02:52	4436130	
2291	021	004	2002-09-20 13:16:44	00:05:25	TRANSFER	
2292	036	001	2002-09-20 13:16:14	00:06:19	TRANSFER	
2293	026	005	2002-09-20 13:24:50	00:00:20	INCOMING	
2294	026	004	2002-09-20 13:26:34	00:00:20	INCOMING	
2295	029	006	2002-09-20 13:24:44	00:03:14	4436130	
2296	036	005	2002-09-20 13:25:11	00:03:19	TRANSFER	
2297	036	006	2002-09-20 13:30:06	00:01:45	2368474	
2298	036	006	2002-09-20 13:32:34	00:00:00	43888	
2299	036	006	2002-09-20 13:32:47	00:00:02	43888	
2300	026	002	2002-09-20 13:33:54	00:00:23	5234264	
2301	036	006	2002-09-20 13:33:01	00:02:15	4388022	
2302	036	006	2002-09-20 13:36:02	00:01:04	7763574	
2303	036	006	2002-09-20 13:37:38	00:00:35	7181674	
2304	024	004	2002-09-20 13:41:25	00:00:34	INCOMING	
2305	026	002	2002-09-20 13:44:07	00:00:13	5725242	
2306	029	004	2002-09-20 13:42:00	00:03:39	TRANSFER	
2307	026	003	2002-09-20 13:48:07	00:00:14	INCOMING	
2308	026	001	2002-09-20 13:48:15	00:00:30	INCOMING	
2309	032	003	2002-09-20 13:48:23	00:02:08	TRANSFER	
2310	036	004	2002-09-20 13:45:41	00:05:50	TRANSFER	
2311	024	008	2002-09-20 13:45:44	00:05:52	INCOMING	
2312	026	007	2002-09-20 13:51:35	00:00:22	INCOMING	
2313	024	001	2002-09-20 13:55:31	00:00:15	INCOMING	
2314	036	001	2002-09-20 13:55:47	00:00:21	TRANSFER	
2315	026	002	2002-09-20 13:53:49	00:03:07	7295707	
2316	024	005	2002-09-20 13:57:22	00:00:28	2313278	
2317	030	002	2002-09-20 13:58:03	00:00:23	INCOMING	
2318	024	002	2002-09-20 13:59:49	00:00:11	5234264	
2319	026	008	2002-09-20 13:59:46	00:00:15	INCOMING	
2320	026	005	2002-09-20 14:00:14	00:01:23	INCOMING	
2321	026	005	2002-09-20 14:02:21	00:00:14	INCOMING	
2322	024	002	2002-09-20 14:01:55	00:01:50	7295707	
2323	026	004	2002-09-20 14:03:50	00:00:15	INCOMING	
2324	027	008	2002-09-20 14:00:03	00:04:32	TRANSFER	
2325	026	005	2002-09-20 14:06:33	00:00:37	INCOMING	
2326	031	005	2002-09-20 14:07:12	00:00:35	TRANSFER	
2327	033	006	2002-09-20 14:07:31	00:00:17	9502190	
2328	026	008	2002-09-20 14:08:25	00:00:11	INCOMING	
2329	036	006	2002-09-20 14:10:44	00:00:21	438802	
2330	036	006	2002-09-20 14:11:20	00:00:14	44388022	
2331	026	002	2002-09-20 14:12:24	00:00:12	2812143	
2332	027	008	2002-09-20 14:08:40	00:04:57	TRANSFER	
2333	031	002	2002-09-20 14:12:38	00:01:22	TRANSFER	
2334	036	006	2002-09-20 14:11:48	00:02:31	4388022	
2335	033	005	2002-09-20 14:11:58	00:05:29	9502190	
2336	036	006	2002-09-20 14:16:46	00:00:53	7275025	
2337	031	004	2002-09-20 14:16:38	00:02:37	INCOMING	
2338	024	005	2002-09-20 14:20:46	00:00:19	2335078	
2339	024	005	2002-09-20 14:21:27	00:00:16	2313278	
2340	035	006	2002-09-20 14:21:03	00:01:09	9242747	
2341	024	005	2002-09-20 14:22:50	00:00:10	INCOMING	
2342	026	002	2002-09-20 14:23:05	00:00:40	4224597	
2343	036	005	2002-09-20 14:23:02	00:00:54	TRANSFER	
2344	024	001	2002-09-20 14:24:10	00:00:10	INCOMING	
2345	026	004	2002-09-20 14:27:27	00:00:10	INCOMING	
2346	021	004	2002-09-20 14:27:38	00:01:14	TRANSFER	
2347	026	006	2002-09-20 14:30:25	00:00:20	INCOMING	
2348	034	006	2002-09-20 14:30:47	00:00:13	TRANSFER	
2349	036	001	2002-09-20 14:24:22	00:07:08	TRANSFER	
2350	026	004	2002-09-20 14:31:09	00:00:24	INCOMING	
2351	030	002	2002-09-20 14:31:43	00:01:07	INCOMING	
2352	036	005	2002-09-20 14:34:29	00:00:52	9248021	
2353	035	005	2002-09-20 14:36:40	00:00:28	4733448	
2354	035	005	2002-09-20 14:37:35	00:00:35	4733448	
2355	033	006	2002-09-20 14:33:21	00:05:11	5747375	
2356	035	005	2002-09-20 14:38:32	00:00:28	473448	
2357	036	006	2002-09-20 14:39:06	00:00:03	9248011	
2358	036	005	2002-09-20 14:39:22	00:00:26	92248021	
2359	035	006	2002-09-20 14:39:36	00:00:24	4733448	
2360	026	001	2002-09-20 14:40:05	00:00:10	INCOMING	
